一 个 果园 的 李 树 棵 数 是 桃树 的 [a] ， 桃树 棵 数 是 梨树 的 [b] ． 已知 李树有 [c] 棵 ， 梨树 有 多少 棵 ？	x = [c] / [a] / [b]	{'[a]': '0.875', '[b]': '0.8333333333333334', '[c]': '1680'}	2304
火箭 每秒 能 飞行 [a] 米 ， 卫星 每秒 飞行 的 比 火箭 的 [b] 倍 少 [c] 米 ． 卫星 每秒 飞行 多少 米 ？	x = [a] * [b] - [c]	{'[a]': '4500', '[b]': '2', '[c]': '1000'}	8000
学校 购买 每张 单价 是 [a] 元 的 课桌 ， 买 了 [b] 张 还 多 [c] 元 ． 如果 用 这笔 钱 买 椅子 ， 可以 买 [d] 把 ． 每 把 椅子 的 单价 = 多少 元 ？	x = ( [a] * [b] + [c] ) / [d]	{'[a]': '140', '[b]': '30', '[c]': '480', '[d]': '40'}	117
商店 里 有 梨 [a] 千克 ， 比 苹果 少 [b] % ， 商店 里 有 苹果 多少 千克 ？	x = [a] / ( 1 -( [b] / 100 ) )	{'[a]': '390', '[b]': '40'}	650
早晨 教室 里 有 [a] 名 学生 ， 其中 女生 占 教室 里 总 人数 的 [b] ， 后来 又 来 了 几名 女生 ， 这时 女生 占 教室 里 总 人数 的 [c] ， 后来 又 来 了 几名 女生 ？	x = [a] * ( 1 - [b] ) / ( 1 - [c] ) - [a]	{'[a]': '36', '[b]': '0.5555555555555556', '[c]': '0.5789473684210527'}	2
某 商店 运 来 [a] 箱 苹果 和 [b] 箱 梨 ， 每箱 都 是 [c] 千克 ， 运 来 的 苹果 和 梨 共 多少 千克 ？	x = [c] * ( [a] + [b] )	{'[a]': '18', '[b]': '22', '[c]': '50'}	2000
一 辆 特快 列车 [a] 小时 行驶 [b] 千米 ， 它 的 速度 = ．	x = [b] / [a]	{'[a]': '3', '[b]': '480'}	160
几年 前 小 王 和 小 刘 一样 高 ． 这 几年 小 王 长 了 [a] 厘米 ， 小 刘 长 了 [b] 厘米 ， 现在 小 王 比 小 刘 高 [c] ． 现在 小 刘 有 多 高 ？	x = ( [a] - [b] ) / [c]	{'[a]': '38', '[b]': '22', '[c]': '0.1111111111111111'}	144
[a] * [b] + [c] * [d] = ．	x = [a] * [b] + [c] * [d]	{'[a]': '23', '[b]': '42', '[c]': '26', '[d]': '40'}	2006
[a] + [b] + [c] + [d] + [e] + [f] + [g] + [h] = ．	x = [a] + [b] + [c] + [d] + [e] + [f] + [g] + [h]	{'[a]': '1993', '[b]': '1994', '[c]': '1995', '[d]': '1996', '[e]': '1997', '[f]': '1998', '[g]': '1999', '[h]': '2000'}	15972
被减数 比 减数 多 [a] ， 比 差 多 [b] ， 被减数 = ．	x = [a] + [b]	{'[a]': '25', '[b]': '52'}	77
张 明 有 [a] 元 钱 ， 买 书 用 去 [b] % ， 买 文具 的 钱 是 买 书 的 [c] % ． 买 文具 用 去 多少 元 ？	x = [a] *( [b] / 100 ) *( [c] / 100 )	{'[a]': '120', '[b]': '80', '[c]': '15'}	14.4
