Two numbers are in the ratio [a] to [b] . If the sum of numbers is [c] , find the numbers .	[b]*VAR_0=[a]*VAR_1,VAR_0+VAR_1=[c]	{'[a]': '8.0', '[b]': '3.0', '[c]': '143.0'}	[39.0,104.0]
[a] trains leave simultaneously traveling on the same track in opposite directions at speeds of [b] and [c] miles per hour . How many hours will it take before they are [d] miles apart ?	([b]*VAR_0)+([c]*VAR_0)=[d]	{'[a]': '2.0', '[b]': '50.0', '[c]': '64.0', '[d]': '285.0'}	[2.5]
Find two numbers whose sum is [a] if one number is [b] times as large as the other number.	VAR_0+VAR_1=[a],VAR_0=[b]*VAR_1	{'[a]': '14.0', '[b]': '3.0'}	[3.5,10.5]
Tickets at a local theater cost [a] dollars for adults and [b] dollars dollars for kids under twelve . If [c] tickets were sold and the profit was [d] dollars , how many kid tickets were sold ?	([a]*VAR_0)+([b]*VAR_1)=[d],VAR_0+VAR_1=[c]	{'[a]': '6.0', '[b]': '2.0', '[c]': '175.0', '[d]': '750.0'}	[75.0]
[a] people go to a zoo . Tickets are [b] dollars for adults and [c] dollars for kids . Total sales are [d] dollars . How many adults went to zoo ? How many kids ?	([b]*VAR_0)+([c]*VAR_1)=[d],VAR_0+VAR_1=[a]	{'[a]': '254.0', '[b]': '28.0', '[c]': '12.0', '[d]': '3864.0'}	[51.0,203.0]
The St . Mark 's Community Barbecue served [a] dinners . A child 's plate cost [b] dollars and an adult 's plate cost [c] dollars . A total of [d] dollars was collected . How many child 's plates were served ? How many adult 's plates were served ?	([b]*VAR_1)+([c]*VAR_0)=[d],VAR_1+VAR_0=[a]	{'[a]': '250.0', '[b]': '3.5', '[c]': '7.0', '[d]': '1347.5'}	[115.0,135.0]
Wal-Mart sells thermometers for [a] dollars, and hot-water bottles for [b] dollars . Total sales for these [a] items during the month of January was [c] dollars . There were [d] times as many thermometers as hot-water bottles sold . How many thermometers were sold ? How many hot-water bottles ?	([a]*VAR_1)+([b]*VAR_0)=[c],VAR_1=[d]*VAR_0	{'[a]': '2.0', '[b]': '6.0', '[c]': '1200.0', '[d]': '7.0'}	[420.0,60.0]
A [a] % acid solution and a [b] % acid solution must be mixed to produce [c] liters of a [d] % acid solution . How many liters of [a] % acid solution should be used ? How many liters of [b] % acid solution should be used ?	(([a]*0.01)*VAR_1)+(([b]*0.01)*VAR_0)=[d]*0.01*[c],VAR_1+VAR_0=[c]	{'[a]': '40.0', '[b]': '55.0', '[c]': '60.0', '[d]': '45.0'}	[40.0,20.0]
Suppose you invested [a] dollars , part at [b] % annual interest and the rest at [c] % annual interest . If you received [d] dollars in interest after one year , how much did you invest at [b] % annual interest and at [c] % annual interest ?	([b]*.01*VAR_1)+([c]*.01*VAR_0)=[d],VAR_1+VAR_0=[a]	{'[a]': '10000.0', '[b]': '6.0', '[c]': '9.0', '[d]': '684.0'}	[7200.0,2800.0]
A recipe calls for [a] cups of sugar . You find that you only have [b] cups of sugar left . What fraction of the recipe can you make ?	VAR_0=[b]/[a]	{'[a]': '2.0', '[b]': '0.3333'}	[0.165]
Tickets to a local movie were sold at [a] dollars for adults and [b] dollars for students . If [c] tickets were sold for a total of [d] dollars , how many student tickets were sold ?	([a]*VAR_0)+([b]*VAR_1)=[d],VAR_0+VAR_1=[c]	{'[a]': '4.0', '[b]': '2.5', '[c]': '59.0', '[d]': '222.5'}	[9.0]
