A theater sells adult tickets for $ [a] and children 's tickets for $ [b] . If a total of $ [c] was taken in on sales of [d] total tickets , then how many adult tickets were sold ?	[a] * [m] + [b] * [n] = [c],[m] + [n] = [d]	[{'SentenceId': 0, 'TokenId': 7, 'Value': 8.0, 'coeff': 'a'}, {'SentenceId': 0, 'TokenId': 14, 'Value': 5.0, 'coeff': 'b'}, {'SentenceId': 1, 'TokenId': 5, 'Value': 236.0, 'coeff': 'c'}, {'SentenceId': 1, 'TokenId': 12, 'Value': 34.0, 'coeff': 'd'}]	[12.0, 22.0]
Two cars start from the same place and travel in opposite directions . One runs at an average rate which is [c] kilometers per hour faster than the other . Find their rates if after [a] hours , they are [b] km apart .	[a] * [m] + [a] * [m] = [b] - [a] * [c]	[{'SentenceId': 2, 'TokenId': 5, 'Value': 6.0, 'coeff': 'a'}, {'SentenceId': 2, 'TokenId': 10, 'Value': 702.0, 'coeff': 'b'}, {'SentenceId': 1, 'TokenId': 8, 'Value': 24.0, 'coeff': 'c'}]	[46.5]
[b] years ago , Hold was [a] times older than her son . Today , she is exactly [c] times as old as her son . How old are both Mrs. Hold and her son today ?	[m] - [a] * [n] = -1 * [a] * [b] + [b],[m] - [c] * [n] = 0	[{'SentenceId': 0, 'TokenId': 6, 'Value': 7.0, 'coeff': 'a'}, {'SentenceId': 0, 'TokenId': 0, 'Value': 8.0, 'coeff': 'b'}, {'SentenceId': 1, 'TokenId': 5, 'Value': 3.0, 'coeff': 'c'}]	[36.0, 12.0]
A real estate salesperson bought promotional calendars and date books to give to her customers at the end of the year . The calendars cost $ [a] each , and the date books cost $ [b] each . She ordered a total of [d] promotional items and spent $ [c] . How many of each item did she order ?	[a] * [m] + [b] * [n] = [c],[m] + [n] = [d]	[{'SentenceId': 1, 'TokenId': 4, 'Value': 0.75, 'coeff': 'a'}, {'SentenceId': 1, 'TokenId': 13, 'Value': 0.5, 'coeff': 'b'}, {'SentenceId': 2, 'TokenId': 11, 'Value': 300.0, 'coeff': 'c'}, {'SentenceId': 2, 'TokenId': 5, 'Value': 500.0, 'coeff': 'd'}]	[300.0, 200.0]
You invested a total of $ [d] in 2 different banks . One bank pays [a] % interest , and the other bank pays [b] % interest . If you earn a total of $ [c] in interest the first year , how much did you invest in each bank ?	0.01 * [a] * [m] + 0.01 * [b] * [n] = [c],[n] + [m] = [d]	[{'SentenceId': 1, 'TokenId': 3, 'Value': 4.0, 'coeff': 'a'}, {'SentenceId': 1, 'TokenId': 12, 'Value': 6.5, 'coeff': 'b'}, {'SentenceId': 2, 'TokenId': 7, 'Value': 282.5, 'coeff': 'c'}, {'SentenceId': 0, 'TokenId': 6, 'Value': 5000.0, 'coeff': 'd'}]	[1700.0, 3300.0]
Adult tickets for a play cost $ [a] and child tickets cost $ [b] . If there were [d] people at a performance and the theater collected $ [c] from ticket sales , how many children attended the play ?	[a] * [m] + [b] * [n] = [c],[m] + [n] = [d]	[{'SentenceId': 0, 'TokenId': 7, 'Value': 16.0, 'coeff': 'a'}, {'SentenceId': 0, 'TokenId': 13, 'Value': 9.0, 'coeff': 'b'}, {'SentenceId': 1, 'TokenId': 13, 'Value': 258.0, 'coeff': 'c'}, {'SentenceId': 1, 'TokenId': 3, 'Value': 24.0, 'coeff': 'd'}]	[18.0, 6.0]
How much [a] % anti-freeze should be mixed with [b] % anti-freeze to get [c] liters of [d] % anti-freeze ?	[a] * [m] + [b] * [n] = [c] * [d],[m] + [n] = [c]	[{'SentenceId': 0, 'TokenId': 2, 'Value': 20.0, 'coeff': 'a'}, {'SentenceId': 0, 'TokenId': 9, 'Value': 60.0, 'coeff': 'b'}, {'SentenceId': 0, 'TokenId': 14, 'Value': 10.0, 'coeff': 'c'}, {'SentenceId': 0, 'TokenId': 17, 'Value': 28.0, 'coeff': 'd'}]	[2.0, 8.0]
A woman invests [d] times as much at [a] % as she did at [b] % . The total amount of interest she earns in 1 year from both accounts is $ [c] . How much did she invest at each rate ?	0.01 * [a] * [m] + 0.01 * [b] * [n] = [c],[m] - [d] * [n] = 0	[{'SentenceId': 0, 'TokenId': 8, 'Value': 5.0, 'coeff': 'a'}, {'SentenceId': 0, 'TokenId': 14, 'Value': 6.0, 'coeff': 'b'}, {'SentenceId': 1, 'TokenId': 15, 'Value': 520.0, 'coeff': 'c'}, {'SentenceId': 0, 'TokenId': 3, 'Value': 4.0, 'coeff': 'd'}]	[2000.0, 8000.0]
If Sally can paint a house in [a] hours , and John can paint the same house in [b] hour , how long will it take for both of them to paint the house together ?	1 / [a] * [m] + 1 / [b] * [m] = 1	[{'SentenceId': 0, 'TokenId': 7, 'Value': 4.0, 'coeff': 'a'}, {'SentenceId': 0, 'TokenId': 18, 'Value': 6.0, 'coeff': 'b'}]	[2.4]
Ruffy is [d] as old as Orlie . [b] years ago , Ruffy was [c] year more than [a] old as Orlie . How old is each ?	[m] - [a] * [n] = -1 * [a] * [b] + [c] + [b],[m] - [d] * [n] = 0	[{'SentenceId': 1, 'TokenId': 10, 'Value': 0.5, 'coeff': 'a'}, {'SentenceId': 1, 'TokenId': 0, 'Value': 4.0, 'coeff': 'b'}, {'SentenceId': 1, 'TokenId': 6, 'Value': 1.0, 'coeff': 'c'}, {'SentenceId': 0, 'TokenId': 2, 'Value': 0.75, 'coeff': 'd'}]	[9.0, 12.0]
[a] of a number increased by [c] is [b] , what is the number ?	[a] * [m] = [b] - [c]	[{'SentenceId': 0, 'TokenId': 0, 'Value': 0.6666666865348816, 'coeff': 'a'}, {'SentenceId': 0, 'TokenId': 8, 'Value': 1.6666666269302368, 'coeff': 'b'}, {'SentenceId': 0, 'TokenId': 6, 'Value': 0.75, 'coeff': 'c'}]	[1.375]
how many quarts of pure antifreeze must be added to [b] quarts of a [c] % antifreeze solution to obtain a [a] % antifreeze solution ?	[m] - 0.01 * [a] * [m] = 0.01 * [a] * [b] - 0.01 * [c] * [b]	[{'SentenceId': 0, 'TokenId': 21, 'Value': 20.0, 'coeff': 'a'}, {'SentenceId': 0, 'TokenId': 10, 'Value': 4.0, 'coeff': 'b'}, {'SentenceId': 0, 'TokenId': 14, 'Value': 10.0, 'coeff': 'c'}]	[0.5]
an auto mechanic needs [c] gallons of anti-freeze with a [d] percent glycol concentration . he has on hand only anti-freeze with a [a] percent glycol concentration and one with a [b] percent glycol concentration . How much of the 40 percent should he mix with the 10 percent to get the 24 gallons of 30 percent solution he needs ?	[a] * [m] + [b] * [n] = [c] * [d],[m] + [n] = [c]	[{'SentenceId': 1, 'TokenId': 8, 'Value': 40.0, 'coeff': 'a'}, {'SentenceId': 1, 'TokenId': 16, 'Value': 10.0, 'coeff': 'b'}, {'SentenceId': 0, 'TokenId': 4, 'Value': 24.0, 'coeff': 'c'}, {'SentenceId': 0, 'TokenId': 10, 'Value': 30.0, 'coeff': 'd'}]	[16.0, 8.0]
You invest $ [c] in two accounts paying [a] % and [b] % annual interest , repectively . At the end of the year , the accounts earn the same interest . How much was invested at each investment ?	[a] * [m] - [b] * [n] = 0,[m] + [n] = [c]	[{'SentenceId': 0, 'TokenId': 8, 'Value': 8.0, 'coeff': 'a'}, {'SentenceId': 0, 'TokenId': 11, 'Value': 10.0, 'coeff': 'b'}, {'SentenceId': 0, 'TokenId': 3, 'Value': 7200.0, 'coeff': 'c'}]	[4000.0, 3200.0]
There are [d] Douglas fir and ponderosa pine trees in a section of forest bought by Sawz Logging Co. . The company paid an average of $ [a] for each Douglas fir and $ [b] for each ponderosa pine . If the company paid $ [c] for the trees , how many of each kind did the company buy ?	[a] * [m] + [b] * [n] = [c],[m] + [n] = [d]	[{'SentenceId': 1, 'TokenId': 7, 'Value': 300.0, 'coeff': 'a'}, {'SentenceId': 1, 'TokenId': 14, 'Value': 225.0, 'coeff': 'b'}, {'SentenceId': 2, 'TokenId': 5, 'Value': 217500.0, 'coeff': 'c'}, {'SentenceId': 0, 'TokenId': 2, 'Value': 850.0, 'coeff': 'd'}]	[350.0, 500.0]
a number is [a] times the sum of its digits . the tens digits is [b] greater than the units digit . find the number .	10 * [m] + [n] - [a] * [m] - [a] * [n] = 0,[m] - [n] = [b]	[{'SentenceId': 0, 'TokenId': 3, 'Value': 8.0, 'coeff': 'a'}, {'SentenceId': 1, 'TokenId': 4, 'Value': 5.0, 'coeff': 'b'}]	[7.0, 2.0]
