While shopping for music online , PERSON_0 bought NUMBER_0 country albums and NUMBER_1 pop albums . Each album came with a lyric sheet and had NUMBER_2 songs . How many songs did PERSON_0 buy total ?	VAR_0 = ( NUMBER_2 * ( NUMBER_0 + NUMBER_1 ) )
A store had NUMBER_0 oranges in a bin . If they threw away NUMBER_1 of the old ones and put NUMBER_2 new ones in the bin how many would be in the bin ?	VAR_0 = ( ( NUMBER_0 + NUMBER_2 ) - NUMBER_1 )
If NUMBER_0 pounds of ground beef costs NUMBER_1 dollars , how much does NUMBER_2 pounds of ground beef cost ?	NUMBER_0 * VAR_0 = NUMBER_1 ; NUMBER_2 * VAR_0 = VAR_1
During a school play , PERSON_0 staffed the snack bar . He served NUMBER_0 pitcher of lemonade during the first intermission , NUMBER_1 pitcher during the second , and NUMBER_2 pitcher during the third . How many pitchers of lemonade did PERSON_0 pour in all ?	VAR_0 = NUMBER_2 + NUMBER_1 + NUMBER_2
PERSON_0 has NUMBER_0 marbles . He buys NUMBER_1 more . Later , PERSON_0 buys 15 apples at the store . How many marbles does PERSON_0 have in all ?	VAR_0 = ( NUMBER_0 + NUMBER_1 )
PERSON_0 's dog had puppies and 8 had spots . He gave NUMBER_0 to his friends . He now has NUMBER_1 puppies . How many puppies did he have to start with ?	VAR_0 - NUMBER_0 = NUMBER_1
PERSON_0 had NUMBER_0 marbles in his collection . He lost NUMBER_1 marbles . How many marbles does he have now ?	VAR_0 = ( NUMBER_0 - NUMBER_1 )
A company 's profit for the first half of the year is NUMBER_0 dollars greater than the profit for the second half . If the total annual profit is NUMBER_1 dollars , find the profit for the first half-year and the second half-year .	VAR_0 + VAR_1 = NUMBER_1 ; VAR_0 = NUMBER_0 + VAR_1
A pet store had NUMBER_0 puppies . In one day they sold NUMBER_1 of them and put the rest into cages with NUMBER_2 in each cage . How many cages did they use ?	VAR_0 = ( ( NUMBER_0 - NUMBER_1 ) / NUMBER_2 )
You are selling tickets for a high school play . Student tickets cost NUMBER_0 dollars and general admission tickets cost NUMBER_1 dollars . You sell NUMBER_2 tickets and collect NUMBER_3 dollars . How many student tickets and general admission tickets did you sell ?	( NUMBER_0 * VAR_0 ) + ( NUMBER_1 * VAR_1 ) = NUMBER_3 ; VAR_0 + VAR_1 = NUMBER_2
PERSON_0 has an aquarium with NUMBER_0 fish . PERSON_0 wants to buy NUMBER_1 more fish . How many fish would PERSON_0 have then ?	NUMBER_0 + NUMBER_1 = VAR_0
PERSON_0 uploaded NUMBER_0 pictures to Facebook . She put NUMBER_1 pics into one album and put the rest into NUMBER_2 different albums . How many pictures were in each album ?	VAR_0 = ( ( NUMBER_0 - NUMBER_1 ) / NUMBER_2 )
During a 4th of July weekend , NUMBER_0 vehicles became trapped on the Sunshine Skyway Bridge while it was being repaved . A recent city ordinance decreed that only cars with NUMBER_1 wheels and trucks with NUMBER_2 wheels could be on the bridge at any given time . If there were NUMBER_3 tires that needed to be replaced to due to damage , how many cars and trucks were involved in the incident ?	( NUMBER_1 * VAR_0 ) + ( NUMBER_2 * VAR_1 ) = NUMBER_3 ; VAR_0 + VAR_1 = NUMBER_0
PERSON_0 made a tower with NUMBER_0 blocks . He added some more blocks and now he has NUMBER_1 blocks . How many did he have to add ?	VAR_0 = ( NUMBER_1 - NUMBER_0 )
