Jane has a dress shop . She has space for [a] dresses . She sells only red and blue dresses . After reading several fashion magazines she decides to stock her shelves with [b] more blue dresses than red dresses . How many blue dresses and red dresses should she stock ?	VAR_0=[b]+VAR_1,VAR_0+VAR_1=[a]	{'[a]': '200.0', '[b]': '34.0'}	[117.0,83.0]
A special tea blend is made from two varieties of herbal tea , one that costs [a] dollars per kilogram and another that costs [b] dollars per kilogram . How many kilograms of each type are needed to make [c] kilograms of a blend worth [d] dollars per kilogram ?	([b]*VAR_0)+([a]*VAR_1)=[c]*[d],VAR_0+VAR_1=[c]	{'[a]': '4.0', '[b]': '2.0', '[c]': '20.0', '[d]': '2.5'}	[5.0,15.0]
The Lakers scored a total of [a] points in a basketball game against the Bulls . The Lakers made a total of [b] baskets , consisting of [c] point baskets and [d] point baskets . How many [c] point baskets did the Lakers make ? How many [d] point baskets did the Lakers make ?	([c]*VAR_1)+([d]*VAR_0)=[a],VAR_1+VAR_0=[b]	{'[a]': '80.0', '[b]': '37.0', '[c]': '2.0', '[d]': '3.0'}	[31.0,6.0]
In [a] week , a music store sold [b] violins for a total of [c] dollars . [d] different types were sold . One cost [e] dollars and the other cost [f] dollars . How many 200-dollar violins were sold ? How many 300-dollar violins were sold ?	([e]*VAR_1)+([f]*VAR_0)=[c],VAR_1+VAR_0=[b]	{'[a]': '1.0', '[b]': '7.0', '[c]': '1600.0', '[d]': '2.0', '[e]': '200.0', '[f]': '300.0'}	[5.0,2.0]
Sunshine Car Rentals rents a basic car at a daily rate of [a] dollars plus [b] per mile . City Rentals rents a basic car at [c] dollars plus [d] per mile . For what mileage is the cost the same ?	[a]+([b]*VAR_0)=[c]+([d]*VAR_0)	{'[a]': '17.99', '[b]': '0.18', '[c]': '18.95', '[d]': '0.16'}	[48.0]
The sum of [a] and twice a number is [b] . Find the number.	[a]+(2.0*VAR_0)=[b]	{'[a]': '38.0', '[b]': '124.0'}	[43.0]
A company 's profit for the first half of the year is [a] dollars greater than the profit for the second half . If the total annual profit is [b] dollars , find the profit for the first half-year and the second half-year .	VAR_0+VAR_1=[b],VAR_0=[a]+VAR_1	{'[a]': '2750000.0', '[b]': '3635000.0'}	[3192500.0,442500.0]
It takes a boat [a] hours to travel [b] miles down a river and [c] hours to return upstream to its starting point . What is the rate of the current in the river ?	(VAR_0+VAR_1)*[a]=[b],(VAR_0-VAR_1)*[c]=[b]	{'[a]': '4.0', '[b]': '24.0', '[c]': '6.0'}	[1.0]
Pat invested a total of [a] dollars . Part of the money yields [b] percent interest per year and the rest yields [c] percent interest per year . If the total yearly interest from this investment is [d] dollars , how much did Pat invest at [b] percent and how much at [c] percent ?	(([c]*0.01)*VAR_1)+(([b]*0.01)*VAR_0)=[d],VAR_1+VAR_0=[a]	{'[a]': '3000.0', '[b]': '10.0', '[c]': '8.0', '[d]': '256.0'}	[800.0,2200.0]
[a] similar tables and [b] similar chairs cost [c] dollars . If the table cost [d] dollars more than a chair , what is the cost , in dollars , of the table ? What is the cost of the chair ?	([a]*VAR_1)+([b]*VAR_0)=[c],[d]+VAR_0=VAR_1	{'[a]': '2.0', '[b]': '6.0', '[c]': '6600.0', '[d]': '500.0'}	[1200.0,700.0]
The state market has [a] more apples than oranges . There are [b] apples and oranges all together . How many apples are in the market ?	VAR_0+VAR_1=[b],VAR_0=[a]+VAR_1	{'[a]': '27.0', '[b]': '301.0'}	[164.0]
Find the number whose double is [a] greater than its half ?	2.0*VAR_0=[a]+0.5*VAR_0	{'[a]': '45.0'}	[30.0]
A carpenter gave an estimate of [a] dollars to build a cover over a patio . His hourly rate is [b] dollars and he expects to need [c] dollars in materials . How many hours will the job take ?	([b]*VAR_0)+[c]=[a]	{'[a]': '980.0', '[b]': '28.0', '[c]': '560.0'}	[15.0]
Adult tickets for a play cost [a] dollars and child tickets cost [b] dollars . If there were [c] people at a performance and the theater collected [d] dollars from ticket sales , how many children attended the play ?	([a]*VAR_0)+([b]*VAR_1)=[d],VAR_0+VAR_1=[c]	{'[a]': '8.0', '[b]': '1.0', '[c]': '22.0', '[d]': '50.0'}	[18.0]
kevin bought [a] muffins and a bottle of juice that cost [b] dollars . He paid a total of [c] dollars . How much did each muffin cost ?	([a]*VAR_0)+[b]=[c]	{'[a]': '3.0', '[b]': '1.45', '[c]': '3.7'}	[0.75]
[a] blend of coffee sells for [b] dollars per pound and another blend sells for [c] dollars per pound . You want to make a [d] pound blend that sells for [e] dollars per pound . How many pounds of the [c] dollars per pound coffee do you need ? How many pounds of the [b] dollars per pound coffee do you need ?	([c]*VAR_0)+([b]*VAR_1)=[d]*[e],VAR_0+VAR_1=[d]	{'[a]': '1.0', '[b]': '9.0', '[c]': '8.0', '[d]': '20.0', '[e]': '8.4'}	[12.0,8.0]
The tallest player on the basketball team is [a] inches tall . This is [b] inches taller than the shortest player . How tall is the shortest player , in inches ?	VAR_0=[a]-[b]	{'[a]': '77.75', '[b]': '9.5'}	[68.25]
[a] of a number decreased by [b] is equal to [c] . Find the number.	([a]*VAR_0)-[b]=[c]	{'[a]': '0.2', '[b]': '4.0', '[c]': '6.0'}	[50.0]
The sum of the numbers of boys and girls in a class is [a] . If twice the number of girls exceeds the number of boys by [b] , find the number of girls in the class . Find the number of boys .	2.0*VAR_1=[b]+VAR_0,VAR_0+VAR_1=[a]	{'[a]': '36.0', '[b]': '12.0'}	[16.0,20.0]
The probability that San Francisco plays in the next super bowl is nine times the probability that they do not play in the next super bowl . The probability that San Francisco plays in the next super bowl plus the probability that they do not play is [a] . What is the probability that San Francisco plays in the next super bowl ?	VAR_1+VAR_0=[a],VAR_1=9.0*VAR_0	{'[a]': '1.0'}	[0.9]
If [a] apples and [b] oranges equals [c] dollars and [b] apples and [d] orange equals [e] dollars , how much does each apple and each orange cost ?	([a]*VAR_0)+([b]*VAR_1)=[c],([b]*VAR_0)+([d]*VAR_1)=[e]	{'[a]': '4.0', '[b]': '2.0', '[c]': '1.0', '[d]': '3.0', '[e]': '0.7'}	[0.2,0.1]
A washer-dryer combination costs [a] dollars . If the washer costs [b] dollars more than the dryer , what does the washer cost ? How much does the dryer cost ?	VAR_1+VAR_0=[a],VAR_1=[b]+VAR_0	{'[a]': '1200.0', '[b]': '220.0'}	[710.0,490.0]
There are [a] animals in a barnyard . Some are chickens and some are cows . There are [b] legs in all . How many chickens and cows are in the barnyard ?	(2.0*VAR_0)+(4.0*VAR_1)=[b],VAR_0+VAR_1=[a]	{'[a]': '11.0', '[b]': '38.0'}	[3.0,8.0]
Riza was [a] when her first son was born . Today the sum of their ages is [b] . How old is Riza and her son now ?	VAR_0+VAR_1=[b],VAR_0=[a]+VAR_1	{'[a]': '25.0', '[b]': '105.0'}	[65.0,40.0]
