at lindsey 's vacation wear , [a] of the garments are bikinis and [b] are trunks . what fraction of the garments are either bikinis or trunks ?	[a] + [b] = x	 0 	 0
when a number is decreased by [b] % of itself , the result is [b] . what is the number ?	x - ( ( [b] * 0.01 ) * x ) = [b]	 0 	 0
in fourth grade there were [a] students at the start of the year . during the year [b] students left and [c] new students came to school . how many students were in fourth grade at the end ?	x = ( ( [a] + [c] ) - [b] )	 0 	 0
there are [a] crayons in the drawer and [b] crayons on the desk . sam placed [c] crayons and 8 scissors on the desk . how many crayons are now there in total ?	x = [a] + [b] + [c]	 0 	 0
a construction company ordered [b] ton of concrete , [b] ton of bricks , and [c] ton of stone . how many tons of material did the company order in all ?	x = [b] + [b] + [c]	 0 	 0
on 3 consecutive passes , a football team gain [a] yards , loses [b] yards , gains [c] yards . what number represents the total net net yardage ?	x = ( [a] - [b] ) + [c]	 0 	 0
craig starts with [a] skittles . [b] are eaten by a hippopotamus . how many skittles does craig end with ?	x = ( [a] - [b] )	 0 	 0
albert’s cabbage patch has [a] rows of cabbage . in each row , there are [b] heads of cabbage . how many heads of cabbage does albert have in all ?	x = ( [a] * [b] )	 0 	 0
steven wants to split a collection of cards into groups of [a] . steven has [b] cards . how many groups will be created ?	x = ( [b] / [a] )	 0 	 0	 0 	 0
a car rents for [a] dollars per day plus [b] cents per mile . you are on a budget of [c] dollars . what mileage would allow you to stay within your budget ?	[a] + ( [b] * 0.01 * x ) = [c]	 0 	 0	 0 	 0
nancy has [a] black balloons . mary has [b] times more black balloons than nancy . how many black balloons does mary have now ?	[a] * [b] = x	 0 	 0	 0 	 0
mary has [a] yellow marbles joan has [b] yellow marbles . how many yellow marbles do they have in all ?	[a] + [b] = x	 0 	 0	 0 	 0
mary picked [a] oranges and jason picked [b] oranges . keith picked 38 apples . how many oranges were picked in all ?	x = [a] + [b]	 0 	 0	 0 	 0
while shopping for music online , isabel bought [a] country albums and [b] pop albums . each album came with a lyric sheet and had [c] songs . how many songs did isabel buy total ?	x = ( [c] * ( [a] + [b] ) )	 0 	 0
bianca was planting vegetables in her garden . she started with [a] seeds and planted [b] of them in the big garden and in each of her small gardens put [c] seeds each . how many small gardens did bianca have ?	x = ( ( [a] - [b] ) / [c] )	 0 	 0
a pet store has [a] bird cages . if each cage has [c] parrots and [c] parakeets in it , how many birds does the pet store have total ?	x = ( [a] * ( [c] + [c] ) )	 0 	 0
nancy and her mom were picking carrots from their garden . nancy picked [a] and her mother picked [b] . if only [c] of the carrots were good , how many bad carrots did they have ?	x = ( ( [a] + [b] ) - [c] )	 0 	 0
while making desserts for a bake sale , victor used [a] of a scoop of brown sugar as well as [b] of a scoop of white sugar . how much more brown sugar did victor use ?	[a] - [b] = x	 0 	 0
sally grew [a] carrots . fred grew [b] carrots . how many carrots did they grow in all ?	x = [a] + [b]	 0 	 0
it took katherine [a] hours to run to louis 's house at [b] miles per hour . how far is it between katherine 's house and louis 's house ?	x = ( [a] * [b] )	 0 	 0
