[a] - [b] 与 [c] 的 积 ， 所得 的 差 除以 [d] ， 商 = ？	x = ( [a] - [b] * [c] ) / [d]	{'[a]': '10.6', '[b]': '0.4', '[c]': '5.5', '[d]': '2.1'}	4
象山 学校 原有 学生 [a] 人 ， 7 月份 毕业 [b] 人 ， 9 月份 招 入 新生 [c] 人 ， 这时 象山 学校 的 学生 比 原来 增加 百分之几 ？	x = ( [c] - [b] ) / [a]	{'[a]': '700', '[b]': '280', '[c]': '350'}	10%
要 修 一条 长 [a] 米 的 公路 ， 原 计划 [b] 天 完成 ， 实际 每天 多 修 [c] 米 ． 这样 要 多少 天 才能 修 完 ？	x = [a] / ( [a] / [b] + [c] )	{'[a]': '3120', '[b]': '48', '[c]': '15'}	39
甲乙 两列 火车 同时 从 相距 [a] 千米 的 两地 相对 开出 ， 甲 车 每 小 行 行 [b] 千米 ， [c] 小时 后 两车 还 相距 [d] 千米 ， 乙 车 每 小时 行 多少 千米 ？	x = ( [a] - [d] - [b] * [c] ) / [c]	{'[a]': '450', '[b]': '45', '[c]': '5', '[d]': '25'}	40
小 明 把 [a] 元 存入 银行 ， 定期 整存整取 [b] 年 ． 如果 按 年利率 [c] % 计算 ， 到期 后 小 明 可 得 利息 多少 元 ．	x = [a] * (3.33 / 100 ) * [b]	{'[a]': '1800', '[b]': '3', '[c]': '3.33'}	179.82
李 东 拿 [a] 元 钱 买 文具 ． 他 买 铅笔 已 用 去 [b] 元 ， 剩下 的 钱 买 练习簿 ， 每 本 [c] 元 ． 他 可以 买 多少 本 练习簿 ？	x = ( [a] - [b] ) / [c]	{'[a]': '5', '[b]': '1.5', '[c]': '0.35'}	10
一 班 开展 课外活动 ， 全班 人数 的 [a] 参加 科技 组 ， 比 参加 阅读 组 的 少 占 全班 人数 的 [b] ， 参加 这 两个 组 的 人数 占 全班 人数 的 几分 之 几 ？	x = [a] + [b] + [a]	{'[a]': '0.14285714285714285', '[b]': '0.2857142857142857'}	((4)/(7))
一 件 工作 ， 甲 做 [a] 天 可以 完成 ， 乙 做 [b] 天 可以 完成 ． 现在 甲 先 做 了 [c] 天 ， 余下 的 工作 由 乙 继续 完成 ． 乙 需要 做 几天 可以 完成 全部 工作 ？	x = ( 1 - 1 / [a] * [c] ) / ( 1 / [b] )	{'[a]': '9', '[b]': '6', '[c]': '3'}	4
妈妈 有 [a] 米 蓝 带子 ， [b] 米 红带子 ． 红带子 的 长 是 兰 带子 的 几倍 ？	x = [b] / [a]	{'[a]': '3', '[b]': '12'}	4
一 个 水果店 运 一批 水果 ． 第一次 运 了 [a] 千克 ， 第 二 次 运 了 [b] 千克 ， 两次 正好 运 了 这 批 水果 的 [c] ， 这 批 水果 有 多少 千克 ？	x = ( [a] + [b] ) / [c]	{'[a]': '50', '[b]': '70', '[c]': '0.25'}	480
