at lindsey 's vacation wear , [a] of the garments are bikinis and [b] are trunks . what fraction of the garments are either bikinis or trunks ?	[a] + [b] = x
when a number is decreased by [b] % of itself , the result is [b] . what is the number ?	x - ( ( [b] * 0.01 ) * x ) = [b]
in fourth grade there were [a] students at the start of the year . during the year [b] students left and [c] new students came to school . how many students were in fourth grade at the end ?	x = ( ( [a] + [c] ) - [b] )
there are [a] crayons in the drawer and [b] crayons on the desk . sam placed [c] crayons and 8 scissors on the desk . how many crayons are now there in total ?	x = [a] + [b] + [c]
a construction company ordered [b] ton of concrete , [b] ton of bricks , and [c] ton of stone . how many tons of material did the company order in all ?	x = [b] + [b] + [c]
on 3 consecutive passes , a football team gain [a] yards , loses [b] yards , gains [c] yards . what number represents the total net net yardage ?	x = ( [a] - [b] ) + [c]
craig starts with [a] skittles . [b] are eaten by a hippopotamus . how many skittles does craig end with ?	x = ( [a] - [b] )
albert’s cabbage patch has [a] rows of cabbage . in each row , there are [b] heads of cabbage . how many heads of cabbage does albert have in all ?	x = ( [a] * [b] )
steven wants to split a collection of cards into groups of [a] . steven has [b] cards . how many groups will be created ?	x = ( [b] / [a] )
a car rents for [a] dollars per day plus [b] cents per mile . you are on a budget of [c] dollars . what mileage would allow you to stay within your budget ?	[a] + ( [b] * 0.01 * x ) = [c]
nancy has [a] black balloons . mary has [b] times more black balloons than nancy . how many black balloons does mary have now ?	[a] * [b] = x
mary has [a] yellow marbles joan has [b] yellow marbles . how many yellow marbles do they have in all ?	[a] + [b] = x
mary picked [a] oranges and jason picked [b] oranges . keith picked 38 apples . how many oranges were picked in all ?	x = [a] + [b]
while shopping for music online , isabel bought [a] country albums and [b] pop albums . each album came with a lyric sheet and had [c] songs . how many songs did isabel buy total ?	x = ( [c] * ( [a] + [b] ) )
bianca was planting vegetables in her garden . she started with [a] seeds and planted [b] of them in the big garden and in each of her small gardens put [c] seeds each . how many small gardens did bianca have ?	x = ( ( [a] - [b] ) / [c] )
a pet store has [a] bird cages . if each cage has [c] parrots and [c] parakeets in it , how many birds does the pet store have total ?	x = ( [a] * ( [c] + [c] ) )
nancy and her mom were picking carrots from their garden . nancy picked [a] and her mother picked [b] . if only [c] of the carrots were good , how many bad carrots did they have ?	x = ( ( [a] + [b] ) - [c] )
while making desserts for a bake sale , victor used [a] of a scoop of brown sugar as well as [b] of a scoop of white sugar . how much more brown sugar did victor use ?	[a] - [b] = x
sally grew [a] carrots . fred grew [b] carrots . how many carrots did they grow in all ?	x = [a] + [b]
it took katherine [a] hours to run to louis 's house at [b] miles per hour . how far is it between katherine 's house and louis 's house ?	x = ( [a] * [b] )
a large bag of balls was kept under haley’s bed . her mom placed the balls in bags for children in foster homes . if every bag can contain [a] balls and haley has [b] balls , how many bags will be used ?	[a] * x = [b]
a book is on sale for [a] % off . if the regular price is [b] dollars , what is the sale price ?	( 1 - [a] * .01 ) * [b] = x
[a] of a number increased by [b] is [c] , what is the number ?	( [a] * x ) + [b] = [c]
the cafeteria had [a] apples . for lunch they handed out [b] to students and decided to use the rest to make pies . if each pie takes [c] apples , how many pies could they make ?	x = ( ( [a] - [b] ) / [c] )
there were [a] boys and [b] girls on the playground at recess . how many children were on the playground in all ?	x = ( [a] + [b] )
virginia has [a] eggs and 8 skittles . if she shares the eggs among [b] friends , how many eggs does each friend get ?	x = ( [a] / [b] )
benny bought [a] new baseball trading cards to add to his collection . the next day his dog ate half of his collection . there are now only [b] cards left . how many cards did benny start with ?	( x + [a] ) / 2 = [b]
a mechanic charged [a] dollars an hour , plus [b] dollars for the parts . if the total bill was [c] dollars , how many hours did the job take ?	( [a] * x ) + [b] = [c]
on saturday , sara spent $ [a] each on [b] tickets to a movie theater . sara also rented a movie for $ [c] , and bought a movie for $ 13.95 . how much money in total did sara spend on movies ?	( [b] * [a] ) + [c] + 13.59 = x
