	{'[a]': '432', '[b]': '16', '[c]': '9'}	8
	{'[a]': '30', '[b]': '3', '[c]': '45'}	4.5
一 种 自行车 的 轮胎 外 直径 是 [a] 米 ， 每分钟 转动 [b] 周 ， 每分钟 能 前进 多少 米 ？	seq
	{'[a]': '38.7', '[b]': '1.5', '[c]': '2.3'}	99.05
	{'[a]': '120', '[b]': '0.75', '[c]': '0.4'}	42
一 列 火车 长 [a] 米 ， 每秒 行驶 [b] 米 ． 全 车 通过 一条 [c] 米 长 的 山洞 ， 需要 多长时间 ？	seq
食堂 买来 [a] 吨 白菜 ， 买来 的 白菜 比 萝卜 多 [b] 吨 ， 买来 萝卜 多少 吨 ？	seq
	{'[a]': '1542', '[b]': '147', '[c]': '684'}	711
	{'[a]': '12', '[b]': '0.3333333333333333'}	16
	{'[a]': '3', '[b]': '169', '[c]': '193'}	700
一 台 抽水机 ， [a] 时 可以 浇水 [b] 公顷 ， 平均 浇水 1 公顷 需要 多少 时 ．	x = [a] / [b]	{'[a]': '4', '[b]': '3.2'}	1.25
	{'[a]': '12', '[b]': '5', '[c]': '6'}	360
	{'[a]': '38', '[b]': '23', '[c]': '2'}	198
[a] 个 [b] / [c] 与 [d] 的 和 ， 商 = ？	seq
昨天 某班 有 [a] 人 到校 ， 出勤率 为 [b] % ， 请问 昨天 该班 有 多少 人 没有 到校 ？	seq
	{'[a]': '5.6', '[b]': '1.25'}	9.95
徒弟 加工 零件 [a] 个 ， 比 师傅 加工 零件 个数 的 [b] 多 [c] 个 ， 师傅 加工 零件 多少 个 ？	seq
某 商店 运 来 [a] 箱 苹果 和 [b] 箱 梨 ， 每箱 都 是 [c] 千克 ， 运 来 的 苹果 和 梨 共 多少 千克 ？	seq
	{'[a]': '845', '[b]': '13', '[c]': '390'}	6
同学 们 在 操场上 活动 ， 他们 分成 [a] 队 ， 每队 分 [b] 组 ， 每组 有 [c] 人 ， 操场上 一共 有 多少 人 ？	x = [a] * [b] * [c]	{'[a]': '5', '[b]': '3', '[c]': '12'}	180
	{'[a]': '6', '[b]': '2'}	15
一 辆 汽车 从 甲 城 运货 到 乙 城 平均 每 小时 行 [a] 千米 ， [b] 小时 到达 ． 返回 时 用 了 [c] 小时 ， 平均 每 小时 行 多少 千米 ？	x = [a] * [b] / [c]	{'[a]': '45.6', '[b]': '4.2', '[c]': '3.6'}	53.2
	{'[a]': '9', '[b]': '0.95', '[c]': '42000'}	300000
有 一个 圆形 花坛 ， 一周 [a] 米 ， 每隔 [b] 米 种 一棵 紫丁香 ， 每 两棵 紫丁香 中间 种 一棵 月季花 ， 紫丁香 和 月季花 各 有 多少 棵 ？	x = [a] / [b]	{'[a]': '120', '[b]': '6'}	20
	{'[a]': '357', '[b]': '7', '[c]': '1000', '[d]': '0.875'}	926
某村 去年 植树造林 [a] 公顷 ， 今年 比 去年 增加 了 [b] % ， 今年 植树造林 多少 公顷 ？	seq
放寒假 了 ， 叔叔 送给 强强 一本 有 许多 个 故事 的 书 ， 强强 计划 每天 看 同样 个数 的 故事 ， 用 [a] 天 可 看 完 ． 但 强强 在 看书 时 发现 故事 很 有趣 ， 实际 每天 比 原 计划 多 看 [b] 个 故事 ， 结果 提前 [c] 天 看 完 了 故事书 ． 这本 故事书 一共 有 多少 个 故事 ．	seq
小巧 带 [a] 元 钱 去 买 面包 ， 她 买 的 是 每 只 [b] 元 的 豆沙包 ， 找回 [c] 元 ． 小巧 共 买 了 几只 豆沙包 ？	seq
六年级 （ 1 ） 班 今天 除 [a] 人 请 病事假 外 ， 其余 [b] 人 都 到校 上课 ， 这个 班 今天 出勤 的 人数 占 全班 人数 的 几分 之 几 ？	seq
	{'[a]': '658', '[b]': '263', '[c]': '137'}	258
[a] 与 [b] 的 和 除 它们 的 差 ， 商 = ？	seq
