Your teacher is giving you a test worth [a] points and containing [b] questions . There are [c] point and [d] point questions on the test . How many two point questions are there ? How many [d] point questions ?	([c]*VAR_1)+([d]*VAR_0)=[a],VAR_1+VAR_0=[b]	{'[a]': '100.0', '[b]': '40.0', '[c]': '2.0', '[d]': '4.0'}	[,3,0,.,0,,, ,1,0,.,0,]
Arianne is mixing a solution for Chemistry class . She has a [a] % copper solution and a [b] % copper solution . How many milliliters of the [a] % solution and [b] % solution should she mix to make [c] milliliters of a [d] % solution ?	(([a]*0.01)*VAR_1)+(([b]*0.01)*VAR_0)=[d]*0.01*[c],VAR_1+VAR_0=[c]	{'[a]': '25.0', '[b]': '50.0', '[c]': '1000.0', '[d]': '45.0'}	[,2,0,0,.,0,,, ,8,0,0,.,0,]
The Johnson Farm has [a] acres of land allotted for cultivating corn and wheat . The cost of cultivating corn and wheat is [b] dollars for corn and [c] dollars for wheat . Mr.Johnson has [d] dollars available for cultivating these crops . If he used all the land and entire budget , how many acres of corn and how many acres of wheat should he plant ?	([b]*VAR_0)+([c]*VAR_1)=[d],VAR_0+VAR_1=[a]	{'[a]': '500.0', '[b]': '42.0', '[c]': '30.0', '[d]': '18600.0'}	[,3,0,0,.,0,,, ,2,0,0,.,0,]
On Monday , Harold picked up three doughnuts and four large coffees for the office staff . He paid [a] dollars . On Tuesday Melinda picked up five doughnuts and six large coffees for the office staff . She paid [b] dollars . What is the cost of one doughnut ? What is the cost of one large coffee ?	(3.0*VAR_1)+(4.0*VAR_0)=[a],(5.0*VAR_1)+(6.0*VAR_0)=[b]	{'[a]': '4.91', '[b]': '7.59'}	[,0,.,4,5,,, ,0,.,8,9,]
Hockey teams receive [a] points for a win and [b] point for a tie . The wild cats once won a championship with [c] points . They won [d] more games than they tied . How many wins and how many ties did the Wildcats have ?	([a]*VAR_1)+([b]*VAR_0)=[c],VAR_1=[d]+VAR_0	{'[a]': '2.0', '[b]': '1.0', '[c]': '60.0', '[d]': '9.0'}	[,2,3,.,0,,, ,1,4,.,0,]
The sum of [a] numbers is [b] . One number is [c] times the other . Find the smaller number . Find the larger number.	VAR_0+VAR_1=[b],VAR_0=[c]*VAR_1	{'[a]': '2.0', '[b]': '84.0', '[c]': '3.0'}	[,2,1,.,0,,, ,6,3,.,0,]
You sell tickets for admission to your school play and collect a total of [a] dollars . Admission prices are [b] dollars for adults and [c] dollars for children . You sold [d] tickets . How many adult tickets did you sell ? How many children 's tickets did you sell ?	([b]*VAR_0)+([c]*VAR_1)=[a],VAR_0+VAR_1=[d]	{'[a]': '104.0', '[b]': '6.0', '[c]': '4.0', '[d]': '21.0'}	[,1,0,.,0,,, ,1,1,.,0,]
A student works [a] part-time jobs . He earns [b] dollars an hour working at the college library and [c] dollars and hour for construction work . To save time for study , be limits his work to [d] hours a week . If he enjoys the work at the library more , how many hours can he work at the library and still earn at [e] dollars a week ?	([b]*VAR_1)+([c]*VAR_0)=[e],VAR_1+VAR_0=[d]	{'[a]': '2.0', '[b]': '8.0', '[c]': '15.0', '[d]': '25.0', '[e]': '300.0'}	[,1,0,.,0,]
Stan invested [a] dollars , part at [b] % and part at [c] % . If the total interest at the end of the year is [d] dollars , how much did he invest at [b] % ? How much at [c] % ?	(([c]*0.01)*VAR_1)+(([b]*0.01)*VAR_0)=[d],VAR_1+VAR_0=[a]	{'[a]': '17000.0', '[b]': '18.0', '[c]': '4.0', '[d]': '1380.0'}	[,5,0,0,0,.,0,,, ,1,2,0,0,0,.,0,]
The difference between [a] times a number and [b] is [c] . Find the number.	([a]*VAR_0)-(-8.0)=(-12.0)	{'[a]': '2.0', '[b]': '-8.0', '[c]': '-12.0'}	[,-,1,0,.,0,]
Colored copies cost [a] cents per copy and white copies cost [b] cents per copy . Sandy made [c] copies , some of which were colored and the rest white . Her total bill was [d] dollars . How many colored copies and white copies did she make ?	([a]*.01*VAR_0)+([b]*.01*VAR_1)=[d],VAR_0+VAR_1=[c]	{'[a]': '10.0', '[b]': '5.0', '[c]': '400.0', '[d]': '22.5'}	[,5,0,.,0,,, ,3,5,0,.,0,]
[a] tickets were sold for the Class of [b] ice cream picnic . Each student ticket costs [c] dollars each , and each non-student ticket costs [d] dollars each . A total of [e] dollars was collected . How many student tickets were sold ?	([c]*VAR_1)+([d]*VAR_0)=[e],VAR_1+VAR_0=[a]	{'[a]': '193.0', '[b]': '2003.0', '[c]': '0.5', '[d]': '1.5', '[e]': '206.5'}	[,8,3,.,0,]
Three times a number is the same as the difference of twice the number and seven . Find the number.	3.0*VAR_0=(2.0*VAR_0)-7.0	{}	[,-,7,.,0,]
