一 个 工程队 挖土 ， 第一天 挖 了 [a] 方 ， 从 第 二 天 开始 每天 都 挖 [b] 方 ， 连续 挖 了 [c] 天 ， 这个 工程队 一周 共 挖土 多少 方 ？	x = [a] + [b] * ( [c] - 1 )	{'[a]': '316', '[b]': '230', '[c]': '6'}	1466
从 甲地 到 乙地 ， 如果 骑 自行车 每 小时 行驶 [a] 千米 ， [b] 小时 可以 到达 ， 如果 乘 汽车 只 需要 [c] 小时 ， 汽车 每 小时 行驶 多少 千米 ？	x = [a] * [b] / [c]	{'[a]': '16', '[b]': '4', '[c]': '2'}	32
[a] - [b] 与 [c] 的 积 ， 所得 的 差 除以 [d] ， 商 = ？	x = ( [a] - [b] * [c] ) / [d]	{'[a]': '10.6', '[b]': '0.4', '[c]': '5.5', '[d]': '2.1'}	4
象山 学校 原有 学生 [a] 人 ， 7 月份 毕业 [b] 人 ， 9 月份 招 入 新生 [c] 人 ， 这时 象山 学校 的 学生 比 原来 增加 百分之几 ？	x = ( [c] - [b] ) / [a]	{'[a]': '700', '[b]': '280', '[c]': '350'}	10%
买 一套 住房 ， 售价 [a] 万元 ， 每年 付 [b] 万元 ， 多少 年 后 才能 付清 ？	x = [a] / [b]	{'[a]': '28', '[b]': '2'}	14
王 叔叔 开车 从 甲地 去 乙地 ， 以 [a] 千米 / 时 的 速度 行 了 [b] 小时 才 到达 ． 返回 时 由于 有 任务 ， 加快 了 速度 ， 只用 了 [c] 小时 就 回到 了 甲地 ， 返回 时 的 速度 = ？	x = [a] * [b] / [c]	{'[a]': '70', '[b]': '6', '[c]': '4'}	105
一 个 果园 的 李 树 棵 数 是 桃树 的 [a] ， 桃树 棵 数 是 梨树 的 [b] ． 已知 李树有 [c] 棵 ， 梨树 有 多少 棵 ？	x = [c] / [a] / [b]	{'[a]': '0.875', '[b]': '0.8333333333333334', '[c]': '1680'}	2304
要 修 一段 长 [a] 千米 的 路 ， 第一天 修 了 [b] 千米 ， 第 二 天 修 了 余下 的 [c] ， 还 剩下 多少 千米 没有 修 完 ？	x = [a] - ( [a] - [b] ) * [c] - [b]	{'[a]': '24', '[b]': '4', '[c]': '0.375'}	12.5
要 修 一条 长 [a] 米 的 公路 ， 原 计划 [b] 天 完成 ， 实际 每天 多 修 [c] 米 ． 这样 要 多少 天 才能 修 完 ？	x = [a] / ( [a] / [b] + [c] )	{'[a]': '3120', '[b]': '48', '[c]': '15'}	39
甲乙 两列 火车 同时 从 相距 [a] 千米 的 两地 相对 开出 ， 甲 车 每 小 行 行 [b] 千米 ， [c] 小时 后 两车 还 相距 [d] 千米 ， 乙 车 每 小时 行 多少 千米 ？	x = ( [a] - [d] - [b] * [c] ) / [c]	{'[a]': '450', '[b]': '45', '[c]': '5', '[d]': '25'}	40
（ [a] * [b] - [c] * [d] ） / [e] = ．	x = ( [a] * [b] - [c] * [d] ) / [e]	{'[a]': '111', '[b]': '66', '[c]': '185', '[d]': '8', '[e]': '37'}	158
[a] 个 小朋友 捉迷藏 ， 已经 捉住 了 [b] 人 ， 还有 多少 人 没 捉住 ．	x = [a] - [b]	{'[a]': '15', '[b]': '4'}	11
小 红 每 小时 跳绳 [a] 下 ， 小 军 每 小时 跳 的 下 数 比 小 红 的 [b] 倍 多 [c] 下 ， 小 军 每 小时 跳 多少 下 ？	x = [a] * [b] + [c]	{'[a]': '25', '[b]': '3', '[c]': '10'}	85
火箭 每秒 能 飞行 [a] 米 ， 卫星 每秒 飞行 的 比 火箭 的 [b] 倍 少 [c] 米 ． 卫星 每秒 飞行 多少 米 ？	x = [a] * [b] - [c]	{'[a]': '4500', '[b]': '2', '[c]': '1000'}	8000
一 个数 除以 [a] ， 商 [b] 余 [c] ， 这个 数 = ．	x = [b] * [a] + [c]	{'[a]': '12', '[b]': '3', '[c]': '7'}	43
在 一次 数学 竞赛 中共 有 [a] 道 题 ， 每 做 对 一 题 得 [b] 分 ， 做 错 或 不 做 扣 [c] 分 ， 小 华 得 了 [d] 分 ， 他 共 做 对 了 几道 题 ？	x = [a] - ( [a] * [b] - [d] ) / ( [b] + [c] )	{'[a]': '20', '[b]': '5', '[c]': '1', '[d]': '70'}	15
